step,id,hours,free,work,money,type,happiness
0,0,16,8,8,1021.7434320809933,red,701.9166660427494
0,1,16,8,8,9.0,red,0.0
0,2,16,8,8,4.835643224558338,red,8.0
0,3,16,8,8,523.472011086048,red,37.258862249317325
0,4,16,8,8,1007.6805290313381,red,1015.9307539820504
0,5,16,8,8,8.0,red,11.984657991639155
0,6,16,8,8,883.1760348597786,red,9.0
0,7,16,8,8,1.0,red,1.7021580652695776
0,8,16,8,8,1003.9353382338123,red,1003.9353382338123
0,9,16,8,8,8.0,red,10.205177932097008
0,10,16,8,8,2.0710608309098393,red,1.055589257354663
0,11,16,8,8,960.1177468852698,red,3.1979158063153674
0,12,16,8,8,0.0,red,2.6796070913486347
0,13,16,8,8,0.0,red,8.549254748178397
0,14,16,8,8,170.48296573205542,red,178.48296573205542
0,15,16,8,8,9.0,red,8.620808886035983
0,16,16,8,8,9.0,red,4.302149681740889
0,17,16,8,8,457.28720929919467,red,435.13325711299586
0,18,16,8,8,568.3514076494807,red,576.5798788412053
0,19,16,8,8,8.0,red,10.840215062325633
0,20,16,8,8,0.6444951039987266,blue,8.0
0,21,16,8,8,518.3765527337994,blue,461.5550130419883
0,22,16,8,8,498.73845952421766,blue,305.01934478856
0,23,16,8,8,340.8330349626562,blue,349.8330349626562
0,24,16,8,8,361.09336232010884,blue,1.0
0,25,16,8,8,203.6821094555937,blue,118.90349297259468
0,26,16,8,8,0.0,blue,7.56059132226149
0,27,16,8,8,8.0,blue,3.645884149516562
0,28,16,8,8,505.2924582098525,blue,0.34358060433143
0,29,16,8,8,5.530126586745108,blue,0.0
0,30,16,8,8,225.7440856941066,blue,7.8347521814884855
0,31,16,8,8,8.236879174321704,blue,5.805203144201229
0,32,16,8,8,522.772215147014,blue,4.668034727074035
0,33,16,8,8,38.67286472772793,blue,31.535146385671272
0,34,16,8,8,504.69131426473695,blue,0.2971964148812787
0,35,16,8,8,342.6234175963592,blue,340.1191523724732
0,36,16,8,8,304.4217009713831,blue,312.4217009713831
0,37,16,8,8,205.51325335880557,blue,211.96912472073825
0,38,16,8,8,151.31535159076034,blue,139.90013739957445
0,39,16,8,8,421.73866589393634,blue,422.73866589393634
0,40,16,8,8,0.0,blue,9.0
0,41,16,8,8,220.51246758936065,blue,186.93461328721074
0,42,16,8,8,119.53878756964227,blue,41.99612614422137
0,43,16,8,8,475.8736360005056,blue,270.0087678441093
0,44,16,8,8,248.43232796166262,blue,257.05967591818955
0,45,16,8,8,498.3430502732522,blue,276.9126107117454
0,46,16,8,8,514.6991877401853,blue,518.5556230284395
0,47,16,8,8,141.0125837895286,blue,125.3305483094519
0,48,16,8,8,112.76706785763909,blue,0.40278058678431866
0,49,16,8,8,30.35769797712248,blue,33.47998740074482
0,50,16,8,8,61.08392127551032,white,1.4602370709119474
0,51,16,8,8,21.71074486337192,white,22.052783283600903
0,52,16,8,8,106.59533426425403,white,1.0
0,53,16,8,8,1.0,white,6.5923624965220275
0,54,16,8,8,95.2692136171891,white,66.31273113348769
0,55,16,8,8,92.64806242174075,white,91.8287638977374
0,56,16,8,8,30.098735787492956,white,27.808802481123198
0,57,16,8,8,8.37143596149556,white,13.433179877221466
0,58,16,8,8,120.07524875527527,white,0.25400257665346154
0,59,16,8,8,111.65987059443833,white,0.4884403930716993
0,60,16,8,8,51.78952383758661,white,52.78952383758661
0,61,16,8,8,42.75683717400937,white,38.50872260770052
0,62,16,8,8,8.033838614391327,white,8.291847100625256
0,63,16,8,8,8.0,white,14.723167280665875
0,64,16,8,8,4.124269773702088,white,8.75770101060663
0,65,16,8,8,3.6673878116581546,white,4.667387811658155
0,66,16,8,8,16.20461045486447,white,0.4594578297835683
0,67,16,8,8,0.6095998252909711,white,6.393437557969763
0,68,16,8,8,92.86256227449843,white,73.56842378748485
0,69,16,8,8,80.54726025811473,white,81.54726025811473
0,70,16,8,8,0.9798945815973246,white,9.641368943243496
0,71,16,8,8,106.83370147806072,white,81.0437981948447
0,72,16,8,8,30.965171583232394,white,8.480135996332589
0,73,16,8,8,48.157498609566325,white,8.23866718080078
0,74,16,8,8,115.64149174868176,white,21.6614724522702
0,75,16,8,8,98.75059314482618,white,106.75059314482618
0,76,16,8,8,4.120325296084998,white,2.383508875029953
0,77,16,8,8,102.67393358586222,white,1.2606587621834198
0,78,16,8,8,114.34944162563055,white,123.34944162563055
0,79,16,8,8,49.4985801014562,white,56.21655976670609
0,80,16,8,8,87.69511706783946,white,60.26077985421811
0,81,16,8,8,9.0,white,0.0
0,82,16,8,8,107.08343290775665,white,85.10832770068224
0,83,16,8,8,72.82261294358806,white,77.32239135688617
0,84,16,8,8,64.5478369536184,white,8.453275197617588
0,85,16,8,8,111.72572789532369,white,55.11104588385769
0,86,16,8,8,104.44397319968868,white,3.3279796540890008
0,87,16,8,8,91.12295592526337,white,40.2992334138628
0,88,16,8,8,8.894385926084182,white,9.634759048970698
0,89,16,8,8,102.69029459138267,white,0.46093368409512686
0,90,16,8,8,36.729517832741934,white,9.0
0,91,16,8,8,80.02181647195495,white,18.971499547811494
0,92,16,8,8,5.030103734333267,white,6.261121296822399
0,93,16,8,8,0.7020381159868436,white,1.7020381159868436
0,94,16,8,8,0.7651562564399224,white,8.765156256439923
0,95,16,8,8,128.45830754719262,white,111.32025415532598
0,96,16,8,8,118.92280804794233,white,15.958879924170763
0,97,16,8,8,8.866401453305489,white,5.168581563561326
0,98,16,8,8,38.07190745716204,white,5.604490255178999
0,99,16,8,8,115.13900675135228,white,121.47453944249197
